debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699364693262,7161971,1699364667596
10634000,10635000,54,1699364666609,1020575,1699364667599
10634000,10635000,24,1699364693240,1512939,1699364667599
10634000,10635000,47,1699364693247,1570131,1699364667599
10634000,10635000,74,1699364693297,877784,1699364667599
10634000,10635000,63,1699364693288,1161884,1699364667599
10634000,10635000,13,1699364693313,1644585,1699364667599
10634000,10635000,100,1699364693305,1143537,1699364667599
10635000,10636000,54,1699364666612,1451827,1699364667796
10635000,10636000,24,1699364693265,1472690,1699364667796
10635000,10636000,47,1699364693275,1397114,1699364667796
10635000,10636000,98,1699364693271,1538652,1699364667796
10635000,10636000,74,1699364693319,977057,1699364667796
10635000,10636000,63,1699364693308,959861,1699364667796
10635000,10636000,13,1699364693336,1639658,1699364667796
10635000,10636000,100,1699364693329,1332218,1699364667796
10636000,10637000,54,1699364666684,1973856,1699364668002
10636000,10637000,98,1699364693317,1077606,1699364668002
10636000,10637000,24,1699364693467,1176265,1699364668002
10636000,10637000,74,1699364693512,1421663,1699364668002
10636000,10637000,47,1699364693483,1429882,1699364668002
10636000,10637000,63,1699364693500,1122880,1699364668002
10636000,10637000,13,1699364693536,1612057,1699364668002
10636000,10637000,100,1699364693531,1123978,1699364668002
10637000,10638000,98,1699364693484,1652665,1699364668205
10637000,10638000,54,1699364667010,1200902,1699364668205
10637000,10638000,24,1699364693669,1251157,1699364668205
10637000,10638000,74,1699364693704,1056880,1699364668205
10637000,10638000,63,1699364693691,846640,1699364668205
10637000,10638000,47,1699364693690,1666596,1699364668205
10637000,10638000,13,1699364693736,1593556,1699364668205
10637000,10638000,100,1699364693733,1557652,1699364668205
10638000,10639000,98,1699364693503,1050798,1699364668408
10638000,10639000,54,1699364667207,1523892,1699364668408
10638000,10639000,24,1699364693860,1075971,1699364668408
