debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700491044000,1700491045000,47,3928273,1700491045105
1700491044000,1700491045000,54,6078365,1700491045106
1700491044000,1700491045000,24,7024626,1700491045106
1700491044000,1700491045000,13,4836223,1700491045106
1700491044000,1700491045000,63,3170431,1700491045106
1700491044000,1700491045000,100,3377528,1700491045106
1700491045000,1700491046000,100,23753654,1700491046049
1700491045000,1700491046000,47,18978047,1700491046157
1700491045000,1700491046000,54,25868700,1700491046157
1700491045000,1700491046000,63,14207139,1700491046157
1700491045000,1700491046000,24,26969240,1700491046158
1700491045000,1700491046000,13,23743209,1700491046158
1700491046000,1700491047000,47,16733718,1700491047108
1700491046000,1700491047000,63,15470709,1700491047113
1700491046000,1700491047000,54,28752119,1700491047113
1700491046000,1700491047000,24,20557909,1700491047113
1700491046000,1700491047000,13,23033690,1700491047113
1700491046000,1700491047000,100,28746793,1700491047113
1700491047000,1700491048000,100,65037702,1700491048060
1700491047000,1700491048000,47,22248435,1700491048164
1700491047000,1700491048000,63,13634724,1700491048165
1700491047000,1700491048000,54,23714326,1700491048165
1700491047000,1700491048000,24,32366241,1700491048165
1700491047000,1700491048000,13,24324233,1700491048166
1700491048000,1700491049000,47,52793388,1700491049117
1700491048000,1700491049000,63,16888344,1700491049117
1700491048000,1700491049000,54,22967415,1700491049117
1700491048000,1700491049000,24,19993891,1700491049117
1700491048000,1700491049000,13,18202716,1700491049118
1700491048000,1700491049000,100,55354627,1700491049118
1700491049000,1700491050000,13,17282272,1700491050035
1700491049000,1700491050000,100,57745641,1700491050067
1700491049000,1700491050000,47,21990554,1700491050172
1700491049000,1700491050000,24,21904442,1700491050173
1700491049000,1700491050000,63,15644969,1700491050173
1700491049000,1700491050000,54,24542566,1700491050173
1700491050000,1700491051000,47,18782436,1700491051116
1700491050000,1700491051000,63,10679241,1700491051116
1700491050000,1700491051000,54,32112135,1700491051117
1700491050000,1700491051000,24,18996444,1700491051117
1700491050000,1700491051000,13,22519419,1700491051118
1700491050000,1700491051000,100,51040382,1700491051118
1700491051000,1700491052000,100,50498749,1700491052066
1700491051000,1700491052000,47,19883515,1700491052140
1700491051000,1700491052000,63,16168183,1700491052144
1700491051000,1700491052000,54,28603509,1700491052144
1700491051000,1700491052000,24,23561223,1700491052144
1700491051000,1700491052000,13,19462206,1700491052145
1700491052000,1700491053000,47,17260038,1700491053092
1700491052000,1700491053000,24,25448124,1700491053120
1700491052000,1700491053000,63,15436264,1700491053121
1700491052000,1700491053000,54,30879069,1700491053121
1700491052000,1700491053000,13,14854814,1700491053121
1700491052000,1700491053000,100,19861342,1700491053121
1700491053000,1700491054000,13,21155934,1700491054068
1700491053000,1700491054000,100,17137529,1700491054069
1700491053000,1700491054000,47,17574130,1700491054173
1700491053000,1700491054000,24,24526879,1700491054173
1700491053000,1700491054000,63,18511693,1700491054174
1700491053000,1700491054000,54,25680672,1700491054174
1700491054000,1700491055000,47,14658726,1700491055082
1700491054000,1700491055000,63,11740968,1700491055082
1700491054000,1700491055000,54,22107459,1700491055082
1700491054000,1700491055000,24,22371682,1700491055082
1700491054000,1700491055000,13,27690259,1700491055117
1700491054000,1700491055000,100,16936192,1700491055117
1700491055000,1700491056000,13,19441818,1700491056070
1700491055000,1700491056000,100,16978195,1700491056070
1700491055000,1700491056000,47,17127739,1700491056137
1700491055000,1700491056000,63,21917658,1700491056138
1700491055000,1700491056000,54,39961822,1700491056138
1700491055000,1700491056000,24,24929479,1700491056138
1700491056000,1700491057000,47,16742832,1700491057083
1700491056000,1700491057000,54,20263240,1700491057083
1700491056000,1700491057000,63,14610940,1700491057083
1700491056000,1700491057000,24,36696697,1700491057083
1700491056000,1700491057000,100,17935826,1700491057120
1700491056000,1700491057000,13,21710741,1700491057121
1700491057000,1700491058000,100,18330753,1700491058073
1700491057000,1700491058000,13,21798076,1700491058073
1700491057000,1700491058000,47,16198872,1700491058130
1700491057000,1700491058000,54,19235807,1700491058131
1700491057000,1700491058000,63,15605248,1700491058131
1700491057000,1700491058000,24,31516517,1700491058131
1700491058000,1700491059000,47,16009705,1700491059080
1700491058000,1700491059000,54,25538063,1700491059080
1700491058000,1700491059000,63,12874055,1700491059080
1700491058000,1700491059000,24,39561904,1700491059081
1700491058000,1700491059000,13,22768556,1700491059130
1700491058000,1700491059000,100,23782065,1700491059131
1700491059000,1700491060000,13,18942420,1700491060079
1700491059000,1700491060000,100,16998863,1700491060080
1700491059000,1700491060000,47,19639484,1700491060129
1700491059000,1700491060000,54,21202762,1700491060129
1700491059000,1700491060000,63,13327183,1700491060129
1700491059000,1700491060000,24,37175346,1700491060130
1700491060000,1700491061000,47,11148378,1700491061069
1700491060000,1700491061000,54,20541933,1700491061070
1700491060000,1700491061000,24,22542217,1700491061070
1700491060000,1700491061000,63,15876579,1700491061072
1700491060000,1700491061000,100,21410557,1700491061127
1700491060000,1700491061000,13,18192141,1700491061127
1700491061000,1700491062000,13,18900256,1700491062080
1700491061000,1700491062000,100,21819882,1700491062080
1700491061000,1700491062000,47,16573205,1700491062126
1700491061000,1700491062000,54,21290277,1700491062126
1700491061000,1700491062000,24,24023133,1700491062127
