debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700669455950,1700669515950,24,1559479,1700669516010
1700669455950,1700669515950,13,1956882,1700669516083
1700669456000,1700669516000,13,1956882,1700669516083
1700669456050,1700669516050,13,1956882,1700669516083
1700669455950,1700669515950,54,3686359,1700669516086
1700669456000,1700669516000,54,3686359,1700669516086
1700669456050,1700669516050,54,5468131,1700669516086
1700669456000,1700669516000,24,4060067,1700669516088
1700669456050,1700669516050,24,4060067,1700669516088
1700669456000,1700669516000,47,2609515,1700669516093
1700669456050,1700669516050,47,2609515,1700669516093
1700669456000,1700669516000,100,1537815,1700669516099
1700669456050,1700669516050,100,1537815,1700669516099
1700669456000,1700669516000,63,1790697,1700669516108
1700669456050,1700669516050,63,1790697,1700669516108
1700669456100,1700669516100,13,4836223,1700669516189
1700669456150,1700669516150,13,4836223,1700669516189
1700669456100,1700669516100,54,6078365,1700669516192
1700669456150,1700669516150,54,6078365,1700669516192
1700669456100,1700669516100,24,7024626,1700669516195
1700669456150,1700669516150,24,7024626,1700669516195
1700669456100,1700669516100,47,3928273,1700669516199
1700669456150,1700669516150,47,3928273,1700669516199
1700669456100,1700669516100,100,3377528,1700669516209
1700669456150,1700669516150,100,3377528,1700669516209
1700669456100,1700669516100,63,3170431,1700669516216
1700669456150,1700669516150,63,3170431,1700669516216
1700669456200,1700669516200,13,7132224,1700669516292
1700669456250,1700669516250,13,7132224,1700669516292
1700669456200,1700669516200,54,7950483,1700669516299
1700669456250,1700669516250,54,7950483,1700669516299
1700669456200,1700669516200,47,5893980,1700669516299
1700669456250,1700669516250,47,5893980,1700669516299
1700669456200,1700669516200,24,9018914,1700669516300
1700669456250,1700669516250,24,9018914,1700669516300
1700669456200,1700669516200,100,6227615,1700669516314
1700669456250,1700669516250,100,6227615,1700669516314
1700669456200,1700669516200,63,4652742,1700669516322
1700669456250,1700669516250,63,4652742,1700669516322
1700669456300,1700669516300,13,8462223,1700669516394
1700669456350,1700669516350,13,8462223,1700669516394
1700669456300,1700669516300,47,7972933,1700669516402
1700669456350,1700669516350,47,7972933,1700669516402
1700669456300,1700669516300,54,10986211,1700669516405
