debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,64457739,1699019078510
10634000,10635000,74,37744744,1699019078513
10634000,10635000,54,3061725,1699019078513
10634000,10635000,47,83216985,1699019078513
10634000,10635000,24,69595223,1699019078513
10634000,10635000,63,47637273,1699019078513
10634000,10635000,13,72361780,1699019078513
10634000,10635000,100,51459173,1699019078513
10635000,10636000,74,196388557,1699019078721
10635000,10636000,54,278750854,1699019078721
10635000,10636000,47,291996865,1699019078721
10635000,10636000,24,318101234,1699019078721
10635000,10636000,98,195408903,1699019078721
10635000,10636000,63,196771533,1699019078721
10635000,10636000,13,359085209,1699019078721
10635000,10636000,100,259782657,1699019078721
10636000,10637000,54,408588253,1699019078934
10636000,10637000,98,122847181,1699019078934
10636000,10637000,74,287176057,1699019078934
10636000,10637000,47,298845459,1699019078934
10636000,10637000,24,252897084,1699019078934
10636000,10637000,63,229067673,1699019078934
10636000,10637000,13,353040506,1699019078934
10636000,10637000,100,219175771,1699019078934
10637000,10638000,98,95854619,1699019079148
10637000,10638000,74,212432939,1699019079148
10637000,10638000,47,348318573,1699019079148
10637000,10638000,54,248586799,1699019079148
10637000,10638000,24,223957226,1699019079148
10637000,10638000,63,173561404,1699019079148
10637000,10638000,13,347395295,1699019079148
10637000,10638000,100,303742215,1699019079148
10638000,10639000,98,153416618,1699019079363
10638000,10639000,74,274351527,1699019079363
10638000,10639000,47,539008751,1699019079363
10638000,10639000,54,315445715,1699019079363
10638000,10639000,24,231333956,1699019079363
10638000,10639000,13,319420727,1699019079363
10638000,10639000,63,192200090,1699019079363
10638000,10639000,100,329116808,1699019079363
10639000,10640000,98,127847233,1699019079580
10639000,10640000,74,241110409,1699019079580
10639000,10640000,47,256533341,1699019079580
10639000,10640000,24,211089844,1699019079580
10639000,10640000,54,241218347,1699019079580
10639000,10640000,13,301511674,1699019079580
10639000,10640000,63,193220213,1699019079580
10639000,10640000,100,340132283,1699019079580
10640000,10641000,98,284334812,1699019079793
10640000,10641000,74,209836584,1699019079793
10640000,10641000,47,276946609,1699019079793
10640000,10641000,24,267996039,1699019079793
10640000,10641000,54,267322062,1699019079793
10640000,10641000,13,312256247,1699019079793
10640000,10641000,63,207446947,1699019079793
10640000,10641000,100,278598732,1699019079793
10641000,10642000,98,484208643,1699019080009
10641000,10642000,47,253560349,1699019080009
10641000,10642000,74,193264265,1699019080009
10641000,10642000,24,278899733,1699019080009
10641000,10642000,54,284393076,1699019080009
10641000,10642000,13,252870617,1699019080009
10641000,10642000,63,248433973,1699019080009
10641000,10642000,100,279909348,1699019080009
10642000,10643000,98,198090178,1699019080221
10642000,10643000,47,249742433,1699019080221
10642000,10643000,24,292215419,1699019080221
10642000,10643000,74,231668502,1699019080221
10642000,10643000,54,278695159,1699019080221
10642000,10643000,13,358812775,1699019080221
10642000,10643000,63,220838362,1699019080221
10642000,10643000,100,220938865,1699019080221
10643000,10644000,47,231250104,1699019080459
10643000,10644000,24,261865489,1699019080459
10643000,10644000,74,275546363,1699019080459
10643000,10644000,13,296809101,1699019080459
10643000,10644000,54,275771646,1699019080459
10643000,10644000,63,192610092,1699019080459
10643000,10644000,100,203685977,1699019080459
10644000,10645000,47,271746423,1699019080662
10644000,10645000,24,274827957,1699019080662
10644000,10645000,74,234985569,1699019080662
10644000,10645000,54,296876655,1699019080662
10644000,10645000,63,225992267,1699019080662
10644000,10645000,100,226281310,1699019080662
10644000,10645000,13,315771341,1699019080662
10645000,10646000,98,38129393,1699019080860
10645000,10646000,47,234815927,1699019080860
10645000,10646000,100,192029259,1699019080860
10645000,10646000,24,386815559,1699019080860
10645000,10646000,74,247381653,1699019080860
10645000,10646000,54,382844989,1699019080860
10645000,10646000,63,240471198,1699019080860
10645000,10646000,13,290780669,1699019080860
10646000,10647000,98,49156854,1699019081050
10646000,10647000,47,226413984,1699019081050
10646000,10647000,24,439466903,1699019081050
10646000,10647000,100,258637058,1699019081050
10646000,10647000,74,228879194,1699019081050
10646000,10647000,54,270125795,1699019081050
10646000,10647000,63,216372668,1699019081050
10646000,10647000,13,287551716,1699019081050
10647000,10648000,47,271288624,1699019081245
10647000,10648000,24,386775465,1699019081245
10647000,10648000,100,246848741,1699019081245
10647000,10648000,74,235003849,1699019081245
10647000,10648000,54,288211334,1699019081245
10647000,10648000,63,205214890,1699019081245
10647000,10648000,13,270512456,1699019081245
10648000,10649000,47,201755736,1699019081439
10648000,10649000,74,173080468,1699019081439
10648000,10649000,100,289544742,1699019081439
10648000,10649000,54,259135200,1699019081439
10648000,10649000,63,185993154,1699019081439
10648000,10649000,24,228246987,1699019081439
10648000,10649000,13,259799402,1699019081439
10649000,10650000,98,220723515,1699019081636
10649000,10650000,47,173306585,1699019081636
10649000,10650000,74,184819667,1699019081636
10649000,10650000,100,208187338,1699019081636
10649000,10650000,54,241462555,1699019081636
10649000,10650000,63,230195851,1699019081636
10649000,10650000,24,242113952,1699019081636
10649000,10650000,13,288970710,1699019081636
10650000,10651000,98,42201723,1699019081837
