debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699547590574,1699547798933
10620000,10680000,13,1699547590586,1699547798933
10620000,10680000,24,1699547590597,1699547798933
10620000,10680000,47,1699547590607,1699547798933
10620000,10680000,63,1699547590616,1699547798933
10620000,10680000,54,1699547590618,1699547798933
10620000,10680000,98,1699547590626,1699547798933
10620000,10680000,74,1699547590642,1699547798933
10680000,10740000,98,1699547663592,1699548072796
10680000,10740000,100,1699547776438,1699548072796
10680000,10740000,54,1699547782050,1699548072796
10680000,10740000,74,1699547782855,1699548072796
10680000,10740000,63,1699547785179,1699548072796
10680000,10740000,47,1699547790278,1699548072796
10680000,10740000,24,1699547790506,1699548072796
10680000,10740000,13,1699547798890,1699548072796
