debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10200000,10800000,98,1699530849283,1699530889554
10200000,10800000,100,1699530849291,1699530907762
10200000,10800000,63,1699530849312,1699530916168
10200000,10800000,74,1699530849331,1699530917204
10200000,10800000,54,1699530849302,1699530917521
10200000,10800000,47,1699530849341,1699530918888
10200000,10800000,24,1699530849351,1699530919615
10200000,10800000,13,1699530849273,1699530920497
10800000,11400000,98,1699530889368,1699531036699
10800000,11400000,100,1699530907624,1699531122512
11400000,12000000,98,1699531036551,1699531125275
10800000,11400000,63,1699530915993,1699531141129
10800000,11400000,74,1699530917032,1699531156659
10800000,11400000,54,1699530917332,1699531162425
10800000,11400000,24,1699530919479,1699531165402
10800000,11400000,47,1699530918709,1699531169694
10800000,11400000,13,1699530920336,1699531172603
12000000,12600000,98,1699531125120,1699531176217
12600000,13200000,98,1699531176066,1699531225948
11400000,12000000,100,1699531122307,1699531327339
11400000,12000000,63,1699531140986,1699531348683
11400000,12000000,74,1699531156451,1699531382908
12000000,12600000,100,1699531327204,1699531385297
11400000,12000000,24,1699531165255,1699531412187
11400000,12000000,54,1699531162233,1699531412575
11400000,12000000,13,1699531172421,1699531422026
12600000,13200000,100,1699531385138,1699531423236
11400000,12000000,47,1699531169527,1699531423405
13200000,13800000,98,1699531225780,1699531434856
