debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700492082000,1700492083000,13,8462223,1700492083318
1700492082000,1700492083000,100,8337268,1700492083331
1700492082000,1700492083000,47,7972933,1700492083341
1700492082000,1700492083000,54,10986211,1700492083419
1700492082000,1700492083000,24,12272884,1700492083421
1700492082000,1700492083000,63,5976893,1700492083602
1700492083000,1700492084000,100,24875632,1700492084081
1700492083000,1700492084000,24,25355887,1700492084154
1700492083000,1700492084000,54,27885168,1700492084279
1700492083000,1700492084000,47,18197415,1700492084328
1700492083000,1700492084000,13,24101246,1700492084382
1700492083000,1700492084000,63,12293769,1700492084728
1700492084000,1700492085000,100,34439564,1700492085127
1700492084000,1700492085000,54,29867071,1700492085137
1700492084000,1700492085000,13,26621465,1700492085191
1700492084000,1700492085000,47,16011275,1700492085244
1700492084000,1700492085000,24,29068245,1700492085318
1700492084000,1700492085000,63,17598706,1700492085749
1700492085000,1700492086000,24,25753921,1700492086092
1700492085000,1700492086000,54,20375627,1700492086093
1700492085000,1700492086000,47,33644278,1700492086129
1700492085000,1700492086000,100,61199091,1700492086270
1700492085000,1700492086000,13,21387079,1700492086307
1700492085000,1700492086000,63,12861514,1700492086817
1700492086000,1700492087000,100,54912529,1700492087114
1700492086000,1700492087000,54,22174139,1700492087122
1700492086000,1700492087000,24,18629395,1700492087169
1700492086000,1700492087000,47,49880858,1700492087182
1700492086000,1700492087000,13,18999132,1700492087503
1700492086000,1700492087000,63,17153245,1700492087538
1700492087000,1700492088000,47,14859106,1700492088108
1700492087000,1700492088000,24,20375565,1700492088124
1700492087000,1700492088000,54,27595638,1700492088196
1700492087000,1700492088000,100,67707270,1700492088294
1700492087000,1700492088000,63,15036994,1700492088365
1700492087000,1700492088000,13,20903916,1700492088384
1700492088000,1700492089000,54,31700813,1700492089103
1700492088000,1700492089000,47,21714410,1700492089144
1700492088000,1700492089000,100,59478686,1700492089157
1700492088000,1700492089000,63,12463497,1700492089178
1700492088000,1700492089000,24,22920639,1700492089288
1700492088000,1700492089000,13,19127637,1700492089358
1700492089000,1700492090000,100,29446562,1700492090108
1700492089000,1700492090000,54,32942539,1700492090142
1700492089000,1700492090000,24,22241481,1700492090233
1700492089000,1700492090000,63,15422860,1700492090234
1700492089000,1700492090000,47,18264942,1700492090307
1700492089000,1700492090000,13,18975695,1700492090346
1700492090000,1700492091000,13,16148317,1700492091082
1700492090000,1700492091000,24,28013453,1700492091168
1700492090000,1700492091000,63,18852364,1700492091209
1700492090000,1700492091000,100,20131238,1700492091296
1700492090000,1700492091000,47,16980194,1700492091300
1700492090000,1700492091000,54,27020203,1700492091323
1700492091000,1700492092000,24,21696603,1700492092140
1700492091000,1700492092000,63,14815092,1700492092185
1700492091000,1700492092000,100,17994991,1700492092185
1700492091000,1700492092000,54,23790293,1700492092255
1700492091000,1700492092000,47,17380840,1700492092275
1700492091000,1700492092000,13,29809884,1700492092298
1700492092000,1700492093000,63,15684166,1700492093142
1700492092000,1700492093000,100,18306089,1700492093267
1700492092000,1700492093000,47,16289517,1700492093271
1700492092000,1700492093000,54,30708741,1700492093281
1700492092000,1700492093000,24,24340018,1700492093291
1700492092000,1700492093000,13,21416901,1700492093342
1700492093000,1700492094000,54,29746364,1700492094087
1700492093000,1700492094000,47,16601013,1700492094096
1700492093000,1700492094000,13,20368491,1700492094107
1700492093000,1700492094000,24,21225441,1700492094129
1700492093000,1700492094000,63,19537447,1700492094247
1700492093000,1700492094000,100,16844216,1700492094363
1700492094000,1700492095000,54,22988062,1700492095139
1700492094000,1700492095000,13,21962937,1700492095156
1700492094000,1700492095000,47,16035303,1700492095176
1700492094000,1700492095000,63,15855292,1700492095251
1700492094000,1700492095000,24,42302085,1700492095277
1700492094000,1700492095000,100,18449723,1700492095364
1700492095000,1700492096000,13,18708887,1700492096088
1700492095000,1700492096000,54,18476499,1700492096208
1700492095000,1700492096000,47,17326038,1700492096209
1700492095000,1700492096000,100,20051336,1700492096260
1700492095000,1700492096000,24,35862859,1700492096358
1700492095000,1700492096000,63,14622006,1700492096363
1700492096000,1700492097000,54,25283410,1700492097099
1700492096000,1700492097000,24,47345609,1700492097110
1700492096000,1700492097000,13,24427961,1700492097149
1700492096000,1700492097000,47,18230232,1700492097314
1700492096000,1700492097000,100,21705268,1700492097315
1700492096000,1700492097000,63,13150972,1700492097391
1700492097000,1700492098000,24,21235355,1700492098133
1700492097000,1700492098000,54,24987241,1700492098157
1700492097000,1700492098000,63,13150894,1700492098225
1700492097000,1700492098000,47,15661834,1700492098240
1700492097000,1700492098000,13,17986450,1700492098252
1700492097000,1700492098000,100,21787785,1700492098332
1700492098000,1700492099000,63,18082512,1700492099137
1700492098000,1700492099000,100,16894283,1700492099234
1700492098000,1700492099000,54,17339151,1700492099238
1700492098000,1700492099000,13,18427895,1700492099259
1700492098000,1700492099000,47,14518083,1700492099260
1700492098000,1700492099000,24,22909761,1700492099320
1700492099000,1700492100000,100,22571193,1700492100130
1700492099000,1700492100000,54,23486048,1700492100148
1700492099000,1700492100000,13,19981949,1700492100209
1700492099000,1700492100000,24,28826926,1700492100232
1700492099000,1700492100000,47,15928036,1700492100272
1700492099000,1700492100000,63,15302354,1700492100405
1700492100000,1700492101000,63,17011631,1700492101084
1700492100000,1700492101000,13,22351920,1700492101109
1700492100000,1700492101000,100,23578955,1700492101162
1700492100000,1700492101000,24,35136477,1700492101164
1700492100000,1700492101000,54,40326581,1700492101199
1700492100000,1700492101000,47,14693416,1700492101367
1700492101000,1700492102000,24,29400792,1700492102086
1700492101000,1700492102000,47,28447549,1700492102096
1700492101000,1700492102000,13,28271129,1700492102166
1700492101000,1700492102000,63,12276633,1700492102171
1700492101000,1700492102000,100,17192813,1700492102256
1700492101000,1700492102000,54,39239323,1700492102265
1700492102000,1700492103000,13,19004352,1700492103097
1700492102000,1700492103000,100,23136631,1700492103121
1700492102000,1700492103000,47,15697718,1700492103162
1700492102000,1700492103000,54,28536441,1700492103235
1700492102000,1700492103000,63,40826648,1700492103247
1700492102000,1700492103000,24,24562164,1700492103285
1700492103000,1700492104000,54,22178622,1700492104106
1700492103000,1700492104000,24,28803232,1700492104162
1700492103000,1700492104000,100,16419769,1700492104164
1700492103000,1700492104000,63,19881556,1700492104249
1700492103000,1700492104000,13,18790841,1700492104258
1700492103000,1700492104000,47,47978636,1700492104395
1700492104000,1700492105000,100,17488597,1700492105087
1700492104000,1700492105000,47,19740138,1700492105102
1700492104000,1700492105000,24,28023835,1700492105109
1700492104000,1700492105000,54,20405843,1700492105152
1700492104000,1700492105000,13,21298414,1700492105161
1700492104000,1700492105000,63,16519702,1700492105302
1700492105000,1700492106000,54,15682246,1700492106081
1700492105000,1700492106000,13,19981882,1700492106134
1700492105000,1700492106000,47,45682486,1700492106155
1700492105000,1700492106000,100,19902964,1700492106163
1700492105000,1700492106000,63,15131761,1700492106163
1700492105000,1700492106000,24,24102696,1700492106186
1700492106000,1700492107000,54,22611482,1700492107152
1700492106000,1700492107000,47,32925559,1700492107184
1700492106000,1700492107000,63,18263051,1700492107194
1700492106000,1700492107000,100,18152428,1700492107195
1700492106000,1700492107000,24,27729022,1700492107228
1700492106000,1700492107000,13,17355238,1700492107361
1700492107000,1700492108000,47,30496517,1700492108113
1700492107000,1700492108000,24,20458025,1700492108115
1700492107000,1700492108000,100,19801899,1700492108116
1700492107000,1700492108000,54,17691807,1700492108314
1700492107000,1700492108000,63,15384734,1700492108319
1700492107000,1700492108000,13,40208095,1700492108415
1700492108000,1700492109000,54,26109193,1700492109087
1700492108000,1700492109000,13,25231121,1700492109145
1700492108000,1700492109000,24,39043745,1700492109272
1700492108000,1700492109000,47,40732214,1700492109277
1700492108000,1700492109000,100,51441716,1700492109294
1700492108000,1700492109000,63,13342473,1700492109306
1700492109000,1700492110000,13,37368067,1700492110111
1700492109000,1700492110000,24,22385812,1700492110154
1700492109000,1700492110000,54,28200509,1700492110157
1700492109000,1700492110000,63,17873144,1700492110199
1700492109000,1700492110000,100,77240951,1700492110279
1700492109000,1700492110000,47,52063429,1700492110371
1700492110000,1700492111000,24,24313922,1700492111091
1700492110000,1700492111000,13,28636006,1700492111123
1700492110000,1700492111000,47,12739548,1700492111210
1700492110000,1700492111000,100,36683338,1700492111249
1700492110000,1700492111000,63,14895225,1700492111266
1700492110000,1700492111000,54,28036771,1700492111358
1700492111000,1700492112000,54,18534731,1700492112079
1700492111000,1700492112000,47,45896236,1700492112128
1700492111000,1700492112000,63,14548474,1700492112140
1700492111000,1700492112000,100,76955613,1700492112140
1700492111000,1700492112000,24,29139292,1700492112185
1700492111000,1700492112000,13,21652966,1700492112189
1700492112000,1700492113000,13,26826981,1700492113115
1700492112000,1700492113000,54,24815425,1700492113159
1700492112000,1700492113000,24,26982688,1700492113229
1700492112000,1700492113000,47,16772927,1700492113348
1700492112000,1700492113000,100,36839680,1700492113372
1700492112000,1700492113000,63,16335847,1700492113372
1700492113000,1700492114000,13,28233114,1700492114129
1700492113000,1700492114000,24,26294571,1700492114129
1700492113000,1700492114000,47,10017098,1700492114217
1700492113000,1700492114000,63,13857386,1700492114328
1700492113000,1700492114000,54,27940972,1700492114358
1700492113000,1700492114000,100,39339612,1700492114426
1700492114000,1700492115000,54,28204556,1700492115132
1700492114000,1700492115000,24,24801311,1700492115149
1700492114000,1700492115000,47,9697105,1700492115158
1700492114000,1700492115000,13,23779138,1700492115171
1700492114000,1700492115000,63,14133639,1700492115220
1700492114000,1700492115000,100,81193339,1700492115341
1700492115000,1700492116000,13,32054188,1700492116078
1700492115000,1700492116000,24,21606283,1700492116118
1700492115000,1700492116000,47,9999551,1700492116235
1700492115000,1700492116000,54,26522288,1700492116263
1700492115000,1700492116000,63,15288876,1700492116285
1700492115000,1700492116000,100,83165703,1700492116369
1700492116000,1700492117000,63,17044035,1700492117120
1700492116000,1700492117000,47,11690694,1700492117123
1700492116000,1700492117000,13,27402289,1700492117148
1700492116000,1700492117000,100,57035284,1700492117196
1700492116000,1700492117000,54,21361644,1700492117354
1700492116000,1700492117000,24,27838508,1700492117367
1700492117000,1700492118000,47,11318454,1700492118152
1700492117000,1700492118000,13,20801890,1700492118171
1700492117000,1700492118000,100,41223571,1700492118228
1700492117000,1700492118000,63,14899215,1700492118238
1700492117000,1700492118000,54,28929445,1700492118255
1700492117000,1700492118000,24,23661569,1700492118291
1700492118000,1700492119000,13,18969347,1700492119103
1700492118000,1700492119000,54,29776373,1700492119184
1700492118000,1700492119000,63,17925221,1700492119193
1700492118000,1700492119000,47,10323471,1700492119231
1700492118000,1700492119000,24,28491019,1700492119256
1700492118000,1700492119000,100,21907682,1700492119287
1700492119000,1700492120000,100,17047438,1700492120108
1700492119000,1700492120000,13,35698091,1700492120147
1700492119000,1700492120000,47,10695262,1700492120152
1700492119000,1700492120000,54,19598336,1700492120168
1700492119000,1700492120000,24,27356296,1700492120187
1700492119000,1700492120000,63,18069193,1700492120197
1700492120000,1700492121000,54,16433401,1700492121092
1700492120000,1700492121000,13,34262654,1700492121153
1700492120000,1700492121000,47,13332799,1700492121182
1700492120000,1700492121000,24,18832206,1700492121304
1700492120000,1700492121000,63,13734204,1700492121315
1700492120000,1700492121000,100,15776012,1700492121315
1700492121000,1700492122000,24,21242913,1700492122092
1700492121000,1700492122000,13,17570512,1700492122095
1700492121000,1700492122000,54,24965882,1700492122124
1700492121000,1700492122000,63,15337021,1700492122173
1700492121000,1700492122000,100,24481116,1700492122182
1700492121000,1700492122000,47,12209141,1700492122241
1700492122000,1700492123000,100,23476815,1700492123077
1700492122000,1700492123000,13,27730549,1700492123161
1700492122000,1700492123000,54,79076297,1700492123175
1700492122000,1700492123000,47,14983282,1700492123187
1700492122000,1700492123000,63,16845163,1700492123201
1700492122000,1700492123000,24,17204419,1700492123266
1700492123000,1700492124000,47,12909858,1700492124126
1700492123000,1700492124000,24,23019288,1700492124170
1700492123000,1700492124000,54,38302697,1700492124212
1700492123000,1700492124000,13,29978435,1700492124263
1700492123000,1700492124000,100,22041328,1700492124277
1700492123000,1700492124000,63,16405883,1700492124286
1700492124000,1700492125000,63,14194369,1700492125079
1700492124000,1700492125000,24,23189019,1700492125102
1700492124000,1700492125000,100,16097053,1700492125164
1700492124000,1700492125000,13,23659095,1700492125261
1700492124000,1700492125000,54,43525428,1700492125310
1700492124000,1700492125000,47,16014615,1700492125345
1700492125000,1700492126000,100,16493358,1700492126115
1700492125000,1700492126000,63,12636061,1700492126134
1700492125000,1700492126000,24,18450173,1700492126144
1700492125000,1700492126000,47,29788006,1700492126147
1700492125000,1700492126000,13,14720041,1700492126193
1700492125000,1700492126000,54,35777982,1700492126335
1700492126000,1700492127000,13,19016744,1700492127115
1700492126000,1700492127000,47,30501895,1700492127156
1700492126000,1700492127000,63,14783624,1700492127165
1700492126000,1700492127000,100,30167544,1700492127178
1700492126000,1700492127000,54,18211803,1700492127259
1700492126000,1700492127000,24,21823202,1700492127314
1700492127000,1700492128000,100,31943508,1700492128098
1700492127000,1700492128000,54,34499619,1700492128113
1700492127000,1700492128000,47,17755592,1700492128115
1700492127000,1700492128000,13,23619445,1700492128192
1700492127000,1700492128000,63,19211925,1700492128215
1700492127000,1700492128000,24,31187940,1700492128240
1700492128000,1700492129000,24,30202038,1700492129101
1700492128000,1700492129000,13,20975131,1700492129106
1700492128000,1700492129000,47,14666732,1700492129153
1700492128000,1700492129000,54,44377827,1700492129224
1700492128000,1700492129000,100,37633836,1700492129285
1700492128000,1700492129000,63,15490129,1700492129302
1700492129000,1700492130000,47,33522032,1700492130097
1700492129000,1700492130000,54,24715560,1700492130130
1700492129000,1700492130000,13,30058204,1700492130140
1700492129000,1700492130000,63,22961357,1700492130161
1700492129000,1700492130000,24,30085524,1700492130162
1700492129000,1700492130000,100,37821174,1700492130174
1700492130000,1700492131000,24,38843994,1700492131087
1700492130000,1700492131000,100,19129433,1700492131090
1700492130000,1700492131000,54,25922670,1700492131169
1700492130000,1700492131000,13,23532879,1700492131176
1700492130000,1700492131000,63,20042815,1700492131194
1700492130000,1700492131000,47,19066959,1700492131269
1700492131000,1700492132000,54,24970611,1700492132102
1700492131000,1700492132000,24,38006921,1700492132115
1700492131000,1700492132000,13,43914757,1700492132160
1700492131000,1700492132000,63,26544544,1700492132239
1700492131000,1700492132000,47,26722997,1700492132304
1700492131000,1700492132000,100,21974743,1700492132324
1700492132000,1700492133000,24,38591630,1700492133151
1700492132000,1700492133000,13,26795568,1700492133198
1700492132000,1700492133000,63,66683436,1700492133226
1700492132000,1700492133000,47,20021707,1700492133237
1700492132000,1700492133000,54,27261958,1700492133284
1700492132000,1700492133000,100,23478433,1700492133354
1700492133000,1700492134000,24,29383641,1700492134162
1700492133000,1700492134000,54,19258281,1700492134195
1700492133000,1700492134000,13,17709622,1700492134294
1700492133000,1700492134000,47,18209915,1700492134314
1700492133000,1700492134000,63,91768758,1700492134358
1700492133000,1700492134000,100,22736875,1700492134460
1700492134000,1700492135000,54,16350027,1700492135134
1700492134000,1700492135000,13,41489499,1700492135146
1700492134000,1700492135000,24,21846812,1700492135152
1700492134000,1700492135000,47,17278431,1700492135323
1700492134000,1700492135000,63,46700510,1700492135327
1700492134000,1700492135000,100,20363450,1700492135424
1700492135000,1700492136000,24,34426219,1700492136085
1700492135000,1700492136000,13,23932074,1700492136180
1700492135000,1700492136000,47,13434272,1700492136276
1700492135000,1700492136000,54,22667494,1700492136289
1700492135000,1700492136000,63,107659463,1700492136304
1700492135000,1700492136000,100,24935189,1700492136544
1700492136000,1700492137000,13,39821752,1700492137097
