debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699538560626,1699538560688
10634000,10635000,54,1699538560637,1699538560697
10634000,10635000,13,1699538560647,1699538560707
10634000,10635000,100,1699538560656,1699538560719
10634000,10635000,63,1699538560686,1699538560748
10634000,10635000,74,1699538560696,1699538560759
10634000,10635000,24,1699538560725,1699538560787
10634000,10635000,47,1699538560715,1699538561831
10635000,10636000,98,1699538560633,1699538562803
10635000,10636000,54,1699538560640,1699538563867
10635000,10636000,100,1699538560679,1699538564943
10635000,10636000,63,1699538560707,1699538564977
10635000,10636000,74,1699538560718,1699538564982
10636000,10637000,98,1699538562762,1699538565976
10635000,10636000,13,1699538560667,1699538565993
10635000,10636000,47,1699538561773,1699538566058
10635000,10636000,24,1699538560748,1699538566068
10637000,10638000,98,1699538565915,1699538567034
10636000,10637000,54,1699538563828,1699538569150
10636000,10637000,100,1699538564902,1699538569174
10636000,10637000,74,1699538564943,1699538569211
10638000,10639000,98,1699538566979,1699538570209
10636000,10637000,13,1699538565942,1699538570221
10636000,10637000,63,1699538564938,1699538570267
10636000,10637000,47,1699538566007,1699538570281
10636000,10637000,24,1699538566015,1699538570297
10639000,10640000,98,1699538570150,1699538571267
10637000,10638000,54,1699538569091,1699538573374
10637000,10638000,100,1699538569131,1699538573402
10637000,10638000,74,1699538569172,1699538573442
10637000,10638000,63,1699538570205,1699538574498
10637000,10638000,47,1699538570236,1699538574508
10637000,10638000,24,1699538570254,1699538574528
10640000,10641000,98,1699538571222,1699538575499
10637000,10638000,13,1699538570179,1699538575507
10638000,10639000,54,1699538573322,1699538577597
10638000,10639000,100,1699538573358,1699538577627
10638000,10639000,74,1699538573403,1699538577670
10641000,10642000,98,1699538575451,1699538578673
10638000,10639000,63,1699538574441,1699538578725
10638000,10639000,47,1699538574464,1699538578734
10638000,10639000,24,1699538574472,1699538578757
10638000,10639000,13,1699538575445,1699538579731
10639000,10640000,54,1699538577550,1699538581825
10642000,10643000,98,1699538578634,1699538581847
10645000,10646000,98,1699538581784,1699538581849
10639000,10640000,100,1699538577580,1699538581855
10646000,10647000,98,1699538581807,1699538582904
10639000,10640000,74,1699538577632,1699538582950
10639000,10640000,63,1699538578671,1699538582956
10639000,10640000,47,1699538578693,1699538582960
10639000,10640000,24,1699538578712,1699538582988
10639000,10640000,13,1699538579684,1699538583962
10640000,10641000,54,1699538581780,1699538586050
10649000,10650000,98,1699538582858,1699538586076
10640000,10641000,100,1699538581807,1699538586082
10650000,10651000,98,1699538586028,1699538587135
10640000,10641000,74,1699538582890,1699538587179
10640000,10641000,63,1699538582906,1699538587189
10640000,10641000,47,1699538582923,1699538588246
10640000,10641000,24,1699538582948,1699538588273
10640000,10641000,13,1699538583921,1699538589247
10641000,10642000,54,1699538586007,1699538590278
10653000,10654000,98,1699538587085,1699538590307
10641000,10642000,100,1699538586033,1699538590309
10641000,10642000,74,1699538587119,1699538591406
10641000,10642000,63,1699538587141,1699538591417
10641000,10642000,47,1699538588190,1699538592473
10641000,10642000,24,1699538588215,1699538592504
10641000,10642000,13,1699538589192,1699538593474
10654000,10655000,98,1699538590263,1699538593480
10642000,10643000,54,1699538590237,1699538594502
10642000,10643000,100,1699538590255,1699538594530
10642000,10643000,74,1699538591347,1699538595634
10642000,10643000,63,1699538591370,1699538595648
10642000,10643000,47,1699538592423,1699538596702
10642000,10643000,24,1699538592458,1699538596736
10642000,10643000,13,1699538593429,1699538597702
10655000,10656000,98,1699538593435,1699538597713
10643000,10644000,100,1699538594473,1699538598755
