debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,54,1700213230660,1700213279722
10620000,10680000,63,1700213230684,1700213279722
10620000,10680000,47,1700213230644,1700213280911
10620000,10680000,24,1700213230649,1700213280911
10620000,10680000,100,1700213230712,1700213283136
10620000,10680000,13,1700213230624,1700213283136
10680000,10740000,54,1700213278704,1700213344552
10680000,10740000,63,1700213279657,1700213344552
10680000,10740000,24,1700213280858,1700213348091
10680000,10740000,47,1700213280650,1700213348091
10680000,10740000,100,1700213277634,1700213352564
10680000,10740000,13,1700213283081,1700213352564
10740000,10800000,54,1700213343990,1700213410311
10740000,10800000,63,1700213344485,1700213410311
10740000,10800000,47,1700213346593,1700213415120
10740000,10800000,24,1700213348053,1700213415120
10740000,10800000,100,1700213334222,1700213419790
10740000,10800000,13,1700213352486,1700213419790
10800000,10860000,63,1700213408478,1700213476536
10800000,10860000,54,1700213410250,1700213476536
10800000,10860000,47,1700213411576,1700213483412
10800000,10860000,24,1700213415067,1700213483412
10800000,10860000,13,1700213419741,1700213488110
10800000,10860000,100,1700213386446,1700213488110
